,x,y,z
719,133572.81325,1415601.3464499998,96.83749999999999
720,133574.9147,1415600.8371,96.86189999999999
721,133575.51555,1415600.6907000002,96.88935000000001
722,133576.4275,1415600.4619500001,96.88935000000001
723,133577.00395,1415600.3369,97.07845
724,133577.94030000002,1415600.0929,96.88325
725,133578.2392,1415600.02275,96.93815
726,133579.15115,1415599.794,96.8741
727,133580.3681,1415599.4951000002,96.87105
728,133580.65785,1415599.43105,96.94120000000001
729,133581.87785,1415599.1291,96.93205
730,133582.17675,1415599.0559,96.95644999999999
731,133582.80505,1415598.8942500001,96.85884999999999
732,133583.09785,1415598.82715,96.8985
733,133583.39979999998,1415598.7508999999,96.92290000000001
734,133588.57565,1415597.4821,96.92290000000001
735,133588.89285,1415597.3967000002,96.86189999999999
736,133589.50285,1415597.2503,96.87715
737,133589.79565000001,1415597.1832,96.9473
738,133590.1037,1415597.10695,96.929
739,133591.04005,1415596.8690499999,96.83749999999999
740,133591.33285,1415596.80195,96.8985
741,133591.9337,1415596.6586000002,96.95644999999999
742,133592.55895,1415596.5,96.8863
743,133592.867,1415596.42375,96.8863
744,133593.46785,1415596.28345,96.9595
745,133593.7942,1415596.1919500001,96.83445
746,133594.09615,1415596.1217999998,96.88325
747,133594.6909,1415595.9815,96.94425000000001
748,133594.99895,1415595.9052499998,96.95035
749,133595.307,1415595.829,96.93815
750,133595.6059,1415595.7619,97.00525
751,133595.92309999999,1415595.6764999998,96.93815
752,133596.2403,1415595.5972,96.92290000000001
753,133596.5331,1415595.53315,96.99305
754,133597.4542,1415595.3044,96.99
755,133597.76225,1415595.22815,96.9717
756,133598.0703,1415595.1519,96.96560000000001
757,133599.15305,1415594.731,96.9717
758,133598.53389999998,1415594.8835,96.98085
759,133598.22585000002,1415594.9567,96.94425000000001
760,133597.91475,1415595.0299,96.9473
761,133597.29864999998,1415595.1823999998,96.96255000000001
762,133596.68865,1415595.3288,96.93509999999999
763,133595.76145,1415595.55755,96.94425000000001
764,133595.45035,1415595.6276999998,96.94425000000001
765,133594.5323,1415595.8564499998,96.92595
766,133594.2212,1415595.9266,96.9107
767,133593.30315,1415596.1523,96.9046
768,133592.68399999998,1415596.3048,96.93205
769,133591.75985,1415596.52745,96.91375
770,133587.7735,1415597.5004,96.9107
771,133587.1635,1415597.6498500002,96.9168
772,133586.86155,1415597.72,96.8985
773,133586.55655,1415597.7932,96.89545
774,133586.2485,1415597.8725,96.92290000000001
775,133585.9435,1415597.94875,96.93205
776,133585.3335,1415598.0951500002,96.92595
777,133585.02850000001,1415598.16835,96.90154999999999
778,133584.72655,1415598.24155,96.88935000000001
779,133584.41545,1415598.3177999998,96.9107
780,133582.58544999998,1415598.76005,96.9046
781,133581.6674,1415598.9888,96.92290000000001
782,133581.3685,1415599.0559,96.9046
783,133581.06655000002,1415599.13215,96.88935000000001
784,133580.7585,1415599.2084,96.8924
785,133580.1485,1415599.35785,96.9168
786,133579.8435,1415599.43105,96.91375
